,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,23-35616,23-35616 - Clean Water Fund,Clean Water Fund,"$75,000.00","$75,000.00",Climate/Climate (Top Level),to support a youth leadership development pilot to create pathways for youth leadership in the climate and environmental movement in Massachusetts,7/21/2023,Grants,2023,Climate
,23-35646,"23-35646 - Cambridge Community Center, Inc.","Cambridge Community Center, Inc.","$75,000.00","$75,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,to support the creation of a resilience hub at the Cambridge Community Center,7/21/2023,Grants,2023,Climate
,23-35554,"23-35554 - Lawyers for Civil Rights, Inc.","Lawyers for Civil Rights, Inc.","$75,000.00","$75,000.00",Education/Building Public Will,To support LCR?s work to diversify and democratize access to career vocational technical education (CVTE) schools in Massachusetts.,6/30/2023,Grants,2023,Education
,23-35565,23-35565 - Citizens for Juvenile Justice,Citizens for Juvenile Justice,"$75,000.00","$75,000.00",Education/Building Public Will,To support general operations.,7/21/2023,Grants,2023,Education
,23-35569,23-35569 - Rennie Center for Education Research and Policy,Rennie Center for Education Research and Policy,"$75,000.00","$75,000.00",Education/Building Public Will,To support work related to the Condition of Education,7/21/2023,Grants,2023,Education
,23-35880,"23-35880 - Great Schools Partnership, Inc.","Great Schools Partnership, Inc.","$75,000.00","$75,000.00",Education/Building Public Will,To support The New England Secondary School Consortium NESSC Common Data Project,11/28/2023,Grants,2023,Education
,23-35905,"23-35905 - Elevated Thought Foundation, Inc.","Elevated Thought Foundation, Inc.","$75,000.00","$75,000.00",Education/Building Public Will,to support staffing and capacity costs for the Social Justice Cohort,11/28/2023,Grants,2023,Education
,23-35738,"23-35738 - Third Sector New England, Inc.","Third Sector New England, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector,To support a new Leadership New England study,10/31/2023,Grants,2023,SectorEffect
,23-36056,"23-36056 - National Association of City Transportation Officials, Inc.","National Association of City Transportation Officials, Inc.","$75,000.00","$75,000.00",Climate/Mobility,to support a delegation of municipal and MBTA leaders from Massachusetts to attend the 2024 Designing Cities Conference,1/2/2024,Grants,2024,Climate
,19-08225,19-08225 - The Islamic Society of Boston,The Islamic Society of Boston,"$75,564.50","$75,564.50",Sector Effectiveness/Invest in Leadership/Barr Fellowship,to support participation in the Barr Fellowship Class of 2017,9/12/2017,Grants,2017,SectorEffect
,20-08667,"20-08667 - Huntington Theatre Company, Inc.","Huntington Theatre Company, Inc.","$78,500.00","$78,500.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Unrestricted general operating support in response to COVID-19 impacts,4/30/2020,Grants,2020,Arts
,5089,"5089 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$80,000.00","$80,000.00",Climate/Mobility/Modernize the Region's Transportation System,The Future of Parking in Boston,6/4/2014,Grants,2014,Climate
,6465,6465 - McCormack Graduate School,McCormack Graduate School,"$80,000.00","$80,000.00",Climate/Clean Energy,To produce a white paper on energy pathways in Massachusetts,3/30/2016,Grants,2016,Climate
,17-06742,"17-06742 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$80,000.00","$80,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to support increasing Boston business engagement and leadership on clean energy,3/22/2018,Grants,2018,Climate
,17-06680,17-06680 - Urban Sustainability Directors Network,Urban Sustainability Directors Network,"$80,000.00","$80,000.00",Climate/Clean Energy/Support National and Local Networks,to support the Urban Sustainability Directors Network,3/22/2018,Grants,2018,Climate
,18-07385,"18-07385 - Justice at Work, Inc.","Justice at Work, Inc.","$80,000.00","$80,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,to provide core support,8/22/2018,Grants,2018,SpecialInit
,18-07388,18-07388 - Berkshire Immigrant Center,Berkshire Immigrant Center,"$80,000.00","$80,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,to support its Berkshire Immigrant Center program,8/22/2018,Grants,2018,SpecialInit
,18-07397,"18-07397 - Catholic Social Services of Fall River, Inc.","Catholic Social Services of Fall River, Inc.","$80,000.00","$80,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,to support its Immigration Law Education & Advocacy Project (ILEAP),8/22/2018,Grants,2018,SpecialInit
,18-07398,18-07398 - African Community Education Program,African Community Education Program,"$80,000.00","$80,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,to provide core support,8/22/2018,Grants,2018,SpecialInit
,18-07400,"18-07400 - Southeast Asian Coalition of Central Massachusetts, Inc.","Southeast Asian Coalition of Central Massachusetts, Inc.","$80,000.00","$80,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,to support its Civil Rights Program,8/22/2018,Grants,2018,SpecialInit
,19-08010,"19-08010 - Jacob's Pillow Dance Festival, Inc.","Jacob's Pillow Dance Festival, Inc.","$80,000.00","$80,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"To support the set-up of a new, comprehensive database and an Undoing Racism training for staff and select community members",7/26/2019,Grants,2019,Arts
,19-07828,19-07828 - Emerson College,Emerson College,"$80,000.00","$80,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To conduct consumer research and develop a new marketing strategy,4/30/2019,Grants,2019,Arts
,19-08012,"19-08012 - Massachusetts Taxpayers Foundation, Inc.","Massachusetts Taxpayers Foundation, Inc.","$80,000.00","$80,000.00",Climate/Mobility/Modernize the Region's Transportation System,To convene and educate stakeholders around four transportation priorities,10/1/2019,Grants,2019,Climate
,18-07577,18-07577 - Advanced Energy Economy Institute,Advanced Energy Economy Institute,"$80,000.00","$80,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To engage in the regional wholesale electric market to build consensus and support for market changes that advance clean energy,4/2/2019,Grants,2019,Climate
,19-08165,19-08165 - Community Engagement Partners,Community Engagement Partners,"$80,000.00","$80,000.00",Education/Building Public Will,To support the Connecticut Organizer Pipeline Initiative and Planning process to build statewide parent-led power for educational equity,10/29/2019,Grants,2019,Education
,20-08586,20-08586 - Trustees of Boston College,Trustees of Boston College,"$80,000.00","$80,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To conduct a study assessing the health impacts of air pollution in Massachusetts,5/29/2020,Grants,2020,Climate
,20-08687,"20-08687 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$80,000.00","$80,000.00",Education/Building Public Will,To conduct a survey of K-12 parents in Massachusetts on issues related to educational challenges during the coronavirus outbreak,4/30/2020,Grants,2020,Education
,21-09725,"21-09725 - Health Resources in Action, Inc.","Health Resources in Action, Inc.","$80,000.00","$80,000.00",Climate/Climate Resilience/Advance Policy and Implementation,To support an equitable community process in the City of Chelsea for use of American Rescue Plan Funds,10/26/2021,Grants,2021,Climate
,22-35167,22-35167 - New Buildings Institute,New Buildings Institute,"$80,000.00","$80,000.00",Climate/Clean Energy,To support stakeholder engagement and research on integrating extreme heat mitigation into building codes,11/29/2022,Grants,2022,Climate
,22-34771,"22-34771 - Muslim Justice League, Inc.","Muslim Justice League, Inc.","$80,000.00","$80,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,3/29/2022,Grants,2022,SpecialInit
,23-36088,23-36088 - Maine Climate Action Now,Maine Climate Action Now,"$80,000.00","$80,000.00",Climate/Clean Energy,To support a Gulf of Maine offshore wind educational campaign,1/30/2024,Grants,2024,Climate
,17-06787,"17-06787 - Great Schools Partnership, Inc.","Great Schools Partnership, Inc.","$80,522.00","$80,522.00",Education/New Models,To continue supporting the development of competency-based learning in Melrose Public Schools,6/20/2018,Grants,2018,Education
,19-08258,19-08258 - Rural Aspirations Project,Rural Aspirations Project,"$81,000.00","$81,000.00",Education/New Models,To build a community-driven portrait of a high school graduate,12/4/2019,Grants,2019,Education
,5861,"5861 - West End House, Inc.","West End House, Inc.","$85,000.00","$85,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Barr-Klarman Youth Arts Mastery - Teen Arts Programming,6/23/2015,Grants,2015,Arts
,5855,"5855 - Theater Offensive, Inc.","Theater Offensive, Inc.","$85,000.00","$85,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Barr-Klarman Youth Arts Mastery - Building Arts Capacity OUT In Your Neighborhood,6/23/2015,Grants,2015,Arts
,17-06624,"17-06624 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$85,000.00","$85,000.00",Waterfront - Special Initiatives/Waterfront,To create a North Charlestown waterfront inventory and vision plan,12/5/2017,Grants,2017,Waterfront
,19-07970,19-07970 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$85,000.00","$85,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support oversight of the Shared Action Plan for ensuring that gas utilities accurately identify and successfully repair leaks of significant environmental impact,7/26/2019,Grants,2019,Climate
,22-34999,"22-34999 - Neighbor to Neighbor Massachusetts Education Fund, Inc.","Neighbor to Neighbor Massachusetts Education Fund, Inc.","$85,000.00","$85,000.00",Organizational Development Support Fund,To support organizational capacity building,7/21/2022,Grants,2022,OrgDev
,20-08982,20-08982 - Salem Public Schools,Salem Public Schools,"$86,000.00","$86,000.00",Education/Invest In Educators,To support a COVID-response fellow during the 2020-2021 school year,10/29/2020,Grants,2020,Education
,18-06907,"18-06907 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$90,000.00","$90,000.00",Climate/Mobility/Develop Low-Carbon Communities,To support completion of the Rose Architectural Fellow's work in the cohort's final year,4/5/2018,Grants,2018,Climate
,17-06678,"17-06678 - National Consumer Law Center, Inc.","National Consumer Law Center, Inc.","$90,000.00","$90,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to advance equitable clean energy solutions in the region,3/22/2018,Grants,2018,Climate
,19-08216,19-08216 - Federal Reserve Bank of Boston,Federal Reserve Bank of Boston,"$90,000.00","$90,000.00",Sector Effectiveness/Invest in Leadership,To support establishing a Community of Learning & Practice for Equitable and Inclusive Cities,10/29/2019,Grants,2019,SectorEffect
,21-09596,"21-09596 - New England Blacks in Philanthropy, Inc.","New England Blacks in Philanthropy, Inc.","$90,000.00","$90,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,To provide support for the development and launch of the Give Black Alliance program,9/28/2021,Grants,2021,SectorEffect
,23-35493,"23-35493 - The Record Company, Inc.","The Record Company, Inc.","$90,000.00","$90,000.00",Arts and Creativity/Organizational Development,To support strategic business planning,6/30/2023,Grants,2023,Arts
,23-35762,"23-35762 - National Consumer Law Center, Inc.","National Consumer Law Center, Inc.","$90,000.00","$90,000.00",Climate/Clean Energy,To support enhanced consumer protection for clean energy and extreme heat in New England,10/31/2023,Grants,2023,Climate
,23-35682,23-35682 - Georgetown University,Georgetown University,"$90,000.00","$90,000.00",Education/Building Public Will,To support Edunomics Lab?s work to analyze and publicize data on the potential magnitude of the fiscal cliff in New England districts,7/21/2023,Grants,2023,Education
,21-09469,"21-09469 - The Northampton Academy of Music, Inc.","The Northampton Academy of Music, Inc.","$91,150.00","$91,150.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in Years 4-6 of the Barr Klarman Massachusetts Arts Initiative,8/31/2021,Grants,2021,Arts
,21-09466,"21-09466 - New Bedford Museum and Art Center, Inc.","New Bedford Museum and Art Center, Inc.","$91,150.00","$91,150.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in Years 4-6 of the Barr Klarman Massachusetts Arts Initiative,8/31/2021,Grants,2021,Arts
,17-06622,17-06622 - The Harborkeepers,The Harborkeepers,"$95,000.00","$95,000.00",Waterfront - Special Initiatives/Waterfront,To support coast community resiliency and environmental advocacy in East Boston,12/5/2017,Grants,2017,Waterfront
,17-06656,"17-06656 - Lenny Fund, Inc.","Lenny Fund, Inc.","$95,000.00","$95,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To support sustainability and transition planning and implementation,1/31/2018,Grants,2018,SectorEffect
